lga_name,suburb,latitude,longitude
South Gippsland,Toora North,-38.6183432,146.3488562
Cardinia,Tooradin,-38.2092442,145.3917982
Stonnington,Toorak,-37.8432402,145.0190242
East Gippsland,Toorloo Arm,-37.8136883,148.0299382
Boroondara,Tooronga,-37.8577136,145.0548502
Baw Baw,Toorongo,-37.7865626,146.0696009
Mornington Peninsula,Tootgarook,-38.3862088,144.8181305
Surf Coast,Torquay,-38.3419249,144.2374759
Mildura,Torrita,-35.3571245,141.5991643
Campaspe,Torrumbarry,-36.0471946,144.5437205
Brimbank,Tottenham,-37.8146251,144.8456217
Buloke,Tottington,-36.7208653,143.1749726
Ballarat,Tourello,-37.409312,143.8780526
Swan Hill,Towan,-35.1548064,143.2827118
Buloke,Towaninny,-36.0005012,143.2611514
Buloke,Towaninny South,-36.0005012,143.2611514
Moyne,Tower Hill,-38.2179522,142.2337184
Snowy Valleys,Towong,-36.4104992,147.9162555
Snowy Valleys,Towong Upper,-36.4104992,147.9162555
Baw Baw,Trafalgar,-38.2177192,146.1812023
Baw Baw,Trafalgar East,-38.2177192,146.1812023
Baw Baw,Trafalgar South,-38.2177192,146.1812023
Gannawarra,Tragowel,-35.7583662,143.8671868
Latrobe (Vic.),Traralgon East,-38.2728501,146.5840737
Latrobe (Vic.),Traralgon South,-38.2728501,146.5840737
Maribyrnong,Travancore,-37.7773364,144.9006313
Pyrenees,Trawalla,-37.4528631,143.3474304
Mitchell,Trawool,-37.0435482,145.2480193
Yarra Ranges,Tremont,-37.8782906,145.3171139
Hepburn,Trentham,-37.459275,144.3685809
Hepburn,Trentham East,-37.459275,144.3685809
Swan Hill,Tresco,-35.5135995,143.6827007
Swan Hill,Tresco West,-35.4661938,143.6285244
Baw Baw,Trida,-38.4586497,146.002705
Wyndham,Truganina,-37.8282806,144.7082568
Mornington Peninsula,Tuerong,-38.3059216,145.1265477
Northern Grampians,Tulkara,-36.9882754,143.0888943
Brimbank,Tullamarine,-37.7044206,144.8786231
Moira,Tungamah,-36.1554528,145.9135867
Swan Hill,Turoar,-35.0979662,142.9599661
Buloke,Turriff,-35.4327537,142.4678659
Buloke,Turriff East,-35.4327537,142.4678659
South Gippsland,Turtons Creek,-38.9962856,146.3376699
Mildura,Tutye,-35.3571245,141.5991643
Mitchell,Tyaak,-37.2372916,145.093449
Mornington Peninsula,Tyabb,-38.2651079,145.1706992
Buloke,Tyenna,-35.3404178,142.7884171
Greater Bendigo,Tylden South,-37.1335012,144.5656396
Cardinia,Tynong,-38.0477423,145.6356577
Cardinia,Tynong North,-38.0477423,145.6356577
Swan Hill,Tyntynder,-35.281810899999996,143.5094722
Swan Hill,Tyntynder South,-35.281810899999996,143.5094722
