Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2017,December,2 Eastern, Wodonga,"3,296","8,076.1"
2017,December,2 Eastern, Yarra Ranges,"8,209","5,233.0"
2017,December,2 Eastern,Total,"112,565","6,705.7"
2017,December,3 Southern Metro, Bayside,"4,761","4,565.5"
2017,December,3 Southern Metro, Cardinia,"5,828","5,691.2"
2017,December,3 Southern Metro, Casey,"21,213","6,491.7"
2017,December,3 Southern Metro, Frankston,"14,276","10,145.1"
2017,December,3 Southern Metro, Glen Eira,"6,821","4,503.6"
2017,December,3 Southern Metro, Greater Dandenong,"18,103","11,071.0"
2017,December,3 Southern Metro, Kingston,"10,709","6,649.4"
2017,December,3 Southern Metro, Mornington Peninsula,"10,915","6,662.2"
2017,December,3 Southern Metro, Port Phillip,"12,530","11,323.4"
2017,December,3 Southern Metro, Stonnington,"9,882","8,685.8"
2017,December,3 Southern Metro,Total,"115,038","7,477.5"
2017,December,4 Western, Ararat,"1,254","10,666.9"
2017,December,4 Western, Ballarat,"11,588","10,992.0"
2017,December,4 Western, Buloke,199,"3,207.1"
2017,December,4 Western, Campaspe,"3,379","8,987.4"
2017,December,4 Western, Central Goldfields,"1,452","11,043.5"
2017,December,4 Western, Colac-Otway,"1,743","8,133.5"
2017,December,4 Western, Corangamite,"1,029","6,347.9"
2017,December,4 Western, Gannawarra,569,"5,383.7"
2017,December,4 Western, Glenelg,"1,639","8,323.2"
2017,December,4 Western, Golden Plains,688,"3,048.6"
2017,December,4 Western, Greater Bendigo,"9,716","8,516.0"
2017,December,4 Western, Greater Geelong,"22,947","9,338.4"
2017,December,4 Western, Hepburn,886,"5,668.9"
2017,December,4 Western, Hindmarsh,385,"6,733.1"
2017,December,4 Western, Horsham,"2,393","12,034.2"
2017,December,4 Western, Loddon,347,"4,622.4"
2017,December,4 Western, Macedon Ranges,"2,130","4,398.8"
2017,December,4 Western, Mildura,"6,496","11,780.5"
2017,December,4 Western, Moorabool,"2,146","6,417.1"
2017,December,4 Western, Mount Alexander,"1,007","5,218.4"
2017,December,4 Western, Moyne,622,"3,703.9"
2017,December,4 Western, Northern Grampians,"1,054","9,151.7"
2017,December,4 Western, Pyrenees,527,"7,162.3"
